date,CPI(2001-01=100),Core_CPI,M2_Growth,DR007,PPI,Oil_Price,PMI_Output_Price,EPUCHINA,Exchange_Rate,Fiscal_Exp_Growth
2011-03-01,98.90981169474726,100.50428571428573,758130.88,,100.6,114.60347826086957,68.3,131.248365,0.15229508696049465,18053.6
2011-04-01,99.207135777998,100.7302857142857,757384.56,,100.5,123.48722222222221,66.2,153.011144,0.1531581204435459,25358.0
2011-05-01,99.207135777998,100.91914285714286,763409.22,,100.3,114.5565,60.3,26.144087,0.15387456145749984,33626.0
2011-06-01,99.4053518334985,100.9391428571429,780820.85,,100.0,114.03954545454545,56.7,39.590013,0.15437339837599184,44435.1
2011-07-01,99.603567888999,100.90800000000002,772923.65,,100.0,116.88666666666668,56.3,207.397181,0.15476522115950103,51385.1
2011-08-01,99.4053518334985,101.17114285714284,780852.3,,100.1,110.45608695652172,57.2,186.73148,0.15603058199407085,59462.0
2011-09-01,99.603567888999,101.31142857142859,787406.2,,100.0,113.12636363636365,56.6,158.055629,0.15665878150799745,69480.6
2011-10-01,99.207135777998,101.17457142857143,816829.25,,99.3,109.43619047619049,46.2,238.709602,0.15731680458106534,77559.6
2011-11-01,98.90981169474726,101.33542857142861,825493.94,,99.3,110.66272727272725,44.4,363.52311,0.15770880645975272,88955.8
2011-12-01,99.4053518334985,101.49628571428578,851590.9,,99.7,107.75714285714287,47.1,324.462631,0.15802531565556804,108930.0
2012-01-01,100.59464816650147,102.29742857142855,855898.89,,99.9,110.57333333333331,50.0,298.702644,0.15830800405268491,
2012-02-01,99.00891972249752,102.44285714285718,867171.42,,100.1,119.56166666666667,54.0,236.089526,0.15873015873015872,13924.1
2012-03-01,99.30624380574827,102.37714285714287,895565.5,,100.3,125.33386363636363,55.9,242.727994,0.15872008126468162,24118.1
2012-04-01,99.00891972249752,102.26285714285717,889604.04,,100.2,119.60975,54.8,155.828931,0.15881586888161867,32003.8
2012-05-01,98.81070366699703,102.04885714285716,900048.77,,99.6,110.70543478260869,44.8,216.251956,0.15857410167771402,41168.8
2012-06-01,98.51337958374629,102.09199999999998,924991.2,,99.3,94.84342105263157,41.2,304.55274,0.15828294659533382,53893.0
2012-07-01,99.207135777998,102.09457142857141,919072.4,,99.2,102.5881818181818,41.0,301.522916,0.1581402704198624,63420.7
2012-08-01,99.70267591674926,101.8174285714286,924894.59,,99.5,113.48347826086955,46.1,215.317534,0.15771875591445336,72440.3
2012-09-01,99.4053518334985,101.81142857142858,943688.75,,99.9,112.86300000000003,51.0,161.978996,0.15774114677813705,84119.3
2012-10-01,99.00891972249752,101.83142857142857,936404.28,,100.2,111.60499999999998,54.3,300.702074,0.15836817433168632,92735.9
2012-11-01,99.207135777998,101.93971428571429,944832.4,,99.9,109.10727272727273,50.1,306.335836,0.15884866487697172,104895.6
2012-12-01,99.90089197224974,101.73971428571427,974159.46,,99.9,109.29024999999999,53.3,192.768392,0.1589825119236884,125712.0
2013-01-01,100.09910802775023,101.22314285714286,992129.25,,100.2,113.035,57.2,208.554531,0.1592686384124102,
2013-02-01,100.19821605550048,101.54028571428573,998600.83,,100.2,116.28249999999998,55.5,162.256029,0.15912924477260432,16104.9
2013-03-01,98.21605550049553,101.52028571428572,1035858.37,,100.0,108.3665,50.6,83.769069,0.15938032927976026,27036.7
2013-04-01,99.30624380574827,101.546,1032551.9,,99.4,101.96309523809524,40.1,147.953175,0.16007427446335099,36344.7
2013-05-01,98.51337958374629,101.66885714285716,1042169.16,,99.4,102.67681818181818,45.1,82.958872,0.16136840406648378,46610.3
2013-06-01,99.10802775024776,101.53457142857147,1054403.69,,99.4,102.9135,44.6,40.403213,0.1620272853948605,59714.0
2013-07-01,99.207135777998,101.41171428571434,1052212.34,,99.7,107.95326086956523,50.1,115.467473,0.16200891049007696,69068.5
2013-08-01,99.603567888999,101.57457142857145,1061256.43,,100.1,111.14261904761904,53.2,139.759542,0.16205354249043885,78676.1
2013-09-01,99.90089197224974,101.46628571428576,1077379.16,,100.2,111.9452380952381,54.5,69.790797,0.1623692927193609,91532.3
2013-10-01,99.207135777998,101.58057142857145,1070242.17,,100.0,109.04152173913043,53.3,97.597763,0.16288501946475983,102039.7
2013-11-01,99.00891972249752,101.49485714285716,1079257.06,,100.0,108.0135714285714,52.5,81.025414,0.16294075474157596,114697.2
2013-12-01,99.4053518334985,101.49485714285716,1106524.98,,100.0,110.7625,52.6,137.232455,0.16350555918901244,139744.0
2014-01-01,100.09910802775023,101.84342857142859,1123521.21,,99.9,108.2534090909091,49.2,103.444367,0.16381894729944466,
2014-02-01,99.603567888999,101.52628571428576,1131760.83,,99.8,108.8605,47.7,66.529545,0.16359115299044627,17066.7
2014-03-01,98.61248761149652,101.65514285714285,1160687.38,,99.7,107.54761904761905,44.4,134.94262,0.16297793278790051,30432.5
2014-04-01,98.81070366699703,101.65257142857146,1168812.67,,99.8,107.63000000000002,48.3,84.268257,0.16246161844264292,39842.3
2014-05-01,99.207135777998,101.7297142857143,1182293.96,,99.9,109.625,50.0,80.76277,0.16224284509053152,52632.1
2014-06-01,99.00891972249752,101.7557142857143,1209587.2,,99.8,111.66952380952381,50.1,102.231655,0.16224284509053152,69154.1
2014-07-01,99.207135777998,101.78171428571429,1194249.24,,99.9,106.64695652173914,50.5,127.480291,0.16241939937306113,79410.3
2014-08-01,99.30624380574827,101.49600000000001,1197499.08,,99.8,101.7035,49.3,151.001907,0.162321851767685,89614.0
2014-09-01,99.603567888999,101.39628571428572,1202051.41,,99.6,97.29681818181817,47.4,185.761899,0.1625276296970485,103639.5
2014-10-01,99.10802775024776,101.54514285714284,1199236.31,,99.6,87.39956521739131,45.1,240.495315,0.16275776761445943,113549.3
2014-11-01,98.90981169474726,101.44542857142861,1208605.95,,99.5,79.1547619047619,44.7,112.73898,0.16278161218908713,126307.9
2014-12-01,99.4053518334985,101.5457142857143,1228374.81,,99.4,62.5295238095238,43.2,93.96096,0.1632972990626735,151662.0
2015-01-01,99.4053518334985,101.36914285714288,1242710.22,,98.9,47.86666666666666,41.9,232.215104,0.1632066849458154,
2015-02-01,100.29732408325074,101.70085714285716,1257380.48,,99.3,57.82117647058824,43.9,117.683673,0.16302841585288314,18865.2
2015-03-01,98.61248761149652,101.74085714285714,1275332.78,,99.9,55.93090909090908,45.0,82.093294,0.1625831206204172,32815.3
2015-04-01,98.90981169474726,101.85514285714288,1280779.14,,99.7,59.771,47.8,105.318359,0.16312681478581448,45349.8
2015-05-01,98.90981169474726,101.90371428571432,1307357.63,,99.9,64.32105263157895,49.4,127.552805,0.16355101974060807,58473.9
2015-06-01,99.10802775024776,101.86657142857143,1333375.36,,99.6,61.690000000000005,47.3,123.343142,0.16350288582593483,77287.9
2015-07-01,99.4053518334985,101.81800000000003,1353210.92,,99.3,56.540869565217406,44.7,268.709206,0.16348684748311995,90020.3
2015-08-01,99.603567888999,101.93228571428575,1356907.98,,99.2,46.71809523809524,44.9,224.058585,0.15858919056077136,102863.8
2015-09-01,99.207135777998,101.96942857142861,1359824.06,,99.6,47.60363636363636,45.8,393.234133,0.15700805451319652,120662.5
2015-10-01,98.81070366699703,101.96942857142861,1361020.7,,99.6,48.59714285714285,44.4,244.867957,0.15751504268657657,134154.0
2015-11-01,99.10802775024776,101.93228571428575,1373956.01,,99.5,44.318999999999996,41.1,104.749071,0.15706970753620456,150223.4
2015-12-01,99.603567888999,101.93228571428575,1392278.11,,99.4,38.21142857142858,42.4,151.614491,0.15509647000434268,175768.0
2016-01-01,99.603567888999,101.79257142857142,1416319.55,,99.5,30.696499999999997,45.1,261.942084,0.15260884826102217,
2016-02-01,100.69375619425172,101.41114285714289,1424618.68,,99.7,32.48238095238095,50.2,269.019178,0.15311356433066403,21170.3
2016-03-01,98.71159563924677,101.61514285714289,1446198.03,,100.5,38.490952380952386,55.3,323.155832,0.15369482355834255,37958.3
2016-04-01,98.90981169474726,101.5622857142857,1445209.59,,100.7,41.73350000000001,57.6,286.17734,0.15441153763009172,51067.6
2016-05-01,98.61248761149652,101.67542857142861,1461695.11,,100.5,46.87949999999999,55.3,260.257465,0.15310418739952536,66528.1
2016-06-01,99.00891972249752,101.94171428571431,1490491.83,,99.8,48.33136363636363,51.3,357.208812,0.15180496098612503,89165.0
2016-07-01,99.30624380574827,102.3474285714286,1491558.72,,100.2,44.9585,54.6,558.222136,0.1497588881900141,101933.3
2016-08-01,99.207135777998,101.93914285714285,1510982.91,,100.2,45.77545454545454,57.2,288.780209,0.1504347564461293,116120.1
2016-09-01,99.8017839444995,102.33228571428572,1516360.5,,100.5,46.60476190476191,57.5,388.749591,0.14989132878662967,135956.2
2016-10-01,99.00891972249752,102.45885714285713,1519485.4,,100.7,49.59888888888889,62.6,261.898893,0.14827555529195457,147774.8
2016-11-01,99.207135777998,102.58400000000002,1530432.06,,101.5,45.13363636363636,68.3,475.670919,0.14625228519195613,165839.0
2016-12-01,99.30624380574827,102.46399999999998,1550066.67,,101.6,53.601,69.6,646.910989,0.1445462692607904,
2017-01-01,100.09910802775023,102.70114285714286,1584194.56,,100.8,54.64944444444444,54.0,694.849413,0.1450999738820047,
2017-02-01,98.90981169474726,102.1142857142857,1589857.0,,100.6,55.105,54.0,464.522816,0.14553286859837294,24859.7
2017-03-01,98.81070366699703,102.35085714285715,1607938.98,,100.3,51.55454545454547,54.7,533.304394,0.1450705042650728,45917.2
2017-04-01,99.207135777998,102.77200000000002,1603918.84,,99.6,52.538888888888884,53.9,322.344254,0.14525383106979448,59552.7
